iter	Passed	Remaining
474	1000	684
475	1002	682
476	1004	679
477	1006	677
478	1007	675
479	1009	673
480	1011	671
481	1013	668
482	1015	666
483	1017	664
484	1019	662
485	1021	660
486	1023	657
487	1025	655
488	1027	653
489	1029	651
490	1031	648
491	1033	646
492	1034	644
493	1036	642
494	1038	640
495	1040	637
496	1042	635
497	1044	633
498	1046	631
499	1048	629
500	1050	626
501	1052	624
502	1054	622
503	1056	620
504	1058	618
505	1060	616
506	1062	613
507	1064	611
508	1066	609
509	1068	607
510	1069	605
511	1071	602
512	1073	600
513	1075	598
514	1077	596
515	1079	594
516	1081	591
517	1083	589
518	1085	587
519	1087	585
520	1089	583
521	1091	581
522	1093	579
523	1095	577
524	1097	575
525	1099	572
526	1101	570
527	1103	568
528	1105	566
529	1107	564
530	1109	562
531	1111	559
532	1113	557
533	1115	555
534	1117	553
535	1119	551
536	1121	549
537	1122	546
538	1124	544
539	1126	542
540	1128	540
541	1130	538
542	1132	536
543	1134	533
544	1136	531
545	1138	529
546	1140	527
547	1142	525
548	1144	523
549	1146	521
550	1148	518
551	1150	516
552	1152	514
553	1154	512
554	1156	510
555	1158	508
556	1160	506
557	1162	504
558	1164	502
559	1166	499
560	1168	497
561	1170	495
562	1173	493
563	1175	491
564	1177	489
565	1179	487
566	1181	485
567	1183	483
568	1185	481
569	1187	479
570	1189	477
571	1191	475
572	1193	472
573	1195	470
574	1197	468
575	1199	466
576	1201	464
577	1203	462
578	1205	460
579	1207	458
580	1209	456
581	1211	453
582	1213	451
583	1215	449
584	1217	447
585	1219	445
586	1221	443
587	1223	441
588	1225	438
589	1227	436
590	1229	434
591	1231	432
592	1233	430
593	1235	428
594	1237	426
595	1239	424
596	1241	422
597	1243	420
598	1245	417
599	1247	415
600	1249	413
601	1251	411
602	1253	409
603	1255	407
604	1257	405
605	1259	403
606	1261	401
607	1263	398
608	1265	396
609	1266	394
610	1268	392
611	1270	390
612	1272	388
613	1274	386
614	1276	384
615	1278	381
616	1280	379
617	1282	377
618	1284	375
619	1286	373
620	1288	371
621	1290	369
622	1292	367
623	1294	364
624	1295	362
625	1297	360
626	1299	358
627	1301	356
628	1303	354
629	1305	352
630	1307	350
631	1309	348
632	1311	345
633	1313	343
634	1314	341
635	1316	339
636	1318	337
637	1320	335
638	1322	333
639	1324	331
640	1326	329
641	1328	326
642	1329	324
643	1331	322
644	1333	320
645	1335	318
646	1337	316
647	1338	314
648	1340	311
649	1342	309
650	1344	307
651	1346	305
652	1348	303
653	1350	301
654	1351	299
655	1353	297
656	1355	295
657	1357	293
658	1359	290
659	1361	288
660	1363	286
661	1365	284
662	1367	282
663	1369	280
664	1371	278
665	1373	276
666	1375	274
667	1377	272
668	1379	270
669	1381	268
670	1383	265
671	1385	263
672	1386	261
673	1388	259
674	1390	257
675	1392	255
676	1394	253
677	1396	251
678	1398	249
679	1400	247
680	1402	245
681	1404	243
682	1406	240
683	1408	238
684	1410	236
685	1412	234
686	1414	232
687	1416	230
688	1418	228
689	1420	226
690	1422	224
691	1424	222
692	1426	220
693	1427	218
694	1429	215
695	1431	213
696	1433	211
697	1434	209
698	1436	207
699	1438	205
700	1440	203
701	1442	201
702	1444	199
703	1446	197
704	1448	195
705	1450	193
706	1452	191
707	1454	188
708	1456	186
709	1458	184
710	1460	182
711	1462	180
712	1464	178
713	1466	176
714	1468	174
715	1469	172
716	1471	170
717	1473	168
718	1475	166
719	1477	164
720	1479	162
721	1481	160
722	1483	157
723	1485	155
724	1487	153
725	1489	151
726	1491	149
727	1493	147
728	1495	145
729	1496	143
730	1498	141
731	1500	139
732	1502	137
733	1504	135
734	1506	133
735	1508	131
736	1510	129
737	1512	127
738	1514	125
739	1516	122
740	1518	120
741	1520	118
742	1522	116
743	1524	114
744	1526	112
745	1527	110
746	1529	108
747	1531	106
748	1533	104
749	1535	102
750	1537	100
751	1539	98
752	1540	96
753	1542	94
754	1544	92
755	1546	90
756	1548	87
757	1550	85
758	1552	83
759	1554	81
760	1556	79
761	1558	77
762	1560	75
763	1562	73
764	1564	71
765	1566	69
766	1568	67
767	1570	65
768	1572	63
769	1574	61
770	1577	59
771	1579	57
772	1580	55
773	1583	53
774	1585	51
775	1587	49
776	1589	47
777	1591	45
778	1594	42
779	1596	40
780	1598	38
781	1600	36
782	1602	34
783	1604	32
784	1606	30
785	1608	28
786	1610	26
787	1612	24
788	1614	22
789	1616	20
790	1618	18
791	1620	16
792	1622	14
793	1624	12
794	1626	10
795	1627	8
796	1629	6
797	1631	4
798	1634	2
799	1636	0
